kcdx_id,valid_from_version,module,rva,signature,last_verified_at_version,verified_by,verified_date,evidence_kind,survival_aob,survival_anchor_string,survival_derives_from,survival_rule,survival_slot_count
107,1.5.1164953,WHGame.dll,0x0071A6A8,"i32 (ptr L, ptr f, ptr ud)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
108,1.5.1164953,WHGame.dll,0x039934B4,"void (ptr B, cstr s)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
109,1.5.1164953,WHGame.dll,0x0399838C,"cstr (ptr L, cstr fmt, ptr argp)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
110,1.5.1164953,WHGame.dll,0x0071F1F8,"ptr (ptr L, i32 idx)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
111,1.5.1164953,WHGame.dll,0x0071E7C0,"void (ptr L, i32 idx)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
112,1.5.1164953,WHGame.dll,0x0399614C,,1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
113,1.5.1164953,WHGame.dll,0x03998368,,1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
114,1.5.1164953,WHGame.dll,0x014492A8,,1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
115,1.5.1164953,WHGame.dll,0x01449600,void (ptr L),1.5.1164953,VioletAnvil,2026-05-28,live_test_plugin,,,,,
116,1.5.1164953,WHGame.dll,0x00F77CA4,"void (ptr L, ptr ud)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
117,1.5.1164953,WHGame.dll,0x0071E2B0,"ptr (ptr ud, ptr block, u64 osize, u64 nsize)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
118,1.5.1164953,WHGame.dll,0x039936D0,"ptr (ptr L, i32 ud, cstr tname)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
119,1.5.1164953,WHGame.dll,0x03B8AF70,,1.5.1164953,VioletAnvil,2026-05-28,predecessor_sig,,,,,
120,1.5.1164953,WHGame.dll,0x01448E60,,1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
121,1.5.1164953,WHGame.dll,0x01448F38,,1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
122,1.5.1164953,WHGame.dll,0x039AD63C,,1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
123,1.5.1164953,WHGame.dll,0x039989A4,void (ptr L),1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
124,1.5.1164953,WHGame.dll,0x00B9CCB8,"void (ptr L, i32 idx)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
125,1.5.1164953,WHGame.dll,0x0071D118,"i32 (ptr L, i32 t)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
126,1.5.1164953,WHGame.dll,0x039987B4,void (ptr L),1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
127,1.5.1164953,WHGame.dll,0x03997070,"void (ptr L, ptr o, ptr v)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
128,1.5.1164953,WHGame.dll,0x01565018,"void (ptr L, ptr level)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
129,1.5.1164953,WHGame.dll,0x00FEABA8,"u64 (ptr L, i32 all)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
130,1.5.1164953,WHGame.dll,0x0071E258,"ptr (ptr L, ptr block, u64 osize, u64 nsize)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
131,1.5.1164953,WHGame.dll,0x004614A0,"ptr (ptr this, cstr pName, cstr szMode, u32 nFlags)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
132,1.5.1164953,WHGame.dll,0x0492B850,,1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
133,1.5.1164953,WHGame.dll,0x00DA104C,void (ptr this),1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
134,1.5.1164953,WHGame.dll,0x00DA0EB0,"ptr (ptr outResult, ptr sys, ptr modsDir)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
135,1.5.1164953,WHGame.dll,0x004D9058,"void (ptr modMgr, ptr modsDir)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
136,1.5.1164953,WHGame.dll,0x00DA1294,u8 (ptr this),1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
137,1.5.1164953,WHGame.dll,0x0243E7B8,,1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
138,1.5.1164953,WHGame.dll,0x046AAF00,,1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
139,1.5.1164953,WHGame.dll,0x046AAED8,,1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
140,1.5.1164953,WHGame.dll,0x03AA2E60,,1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
141,1.5.1164953,WHGame.dll,0x004F7820,ptr (i64 size),1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
142,1.5.1164953,WHGame.dll,0x004FD468,"ptr (ptr dest, ptr source)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
143,1.5.1164953,WHGame.dll,0x004F692C,"ptr (ptr dest, cstr source)",1.5.1164953,VioletAnvil,2026-05-28,maintainer_ghidra,,,,,
