=== references to DAT_18492b850 (write = assignment of the enumerator) ===
  READ from 0x180b04be4  in FUN_180b04984 @ 0x180b04984
  READ from 0x180b04c2b  in FUN_180b04984 @ 0x180b04984
  READ from 0x180b05078  in FUN_180b05024 @ 0x180b05024
  READ from 0x180b050b2  in FUN_180b05024 @ 0x180b05024
  READ from 0x180b05100  in FUN_180b05024 @ 0x180b05024
  READ from 0x180b05151  in FUN_180b05024 @ 0x180b05024
  READ from 0x180b05167  in FUN_180b05024 @ 0x180b05024
  READ from 0x180b051aa  in FUN_180b05024 @ 0x180b05024
  READ from 0x180b051cf  in FUN_180b05024 @ 0x180b05024
  READ from 0x18171a66b  in FUN_18171a644 @ 0x18171a644
  READ from 0x18171a715  in FUN_18171a644 @ 0x18171a644
  READ from 0x18171a736  in FUN_18171a644 @ 0x18171a644
  READ from 0x1819d4ac6  in FUN_1819d4a54 @ 0x1819d4a54
  READ from 0x1819d4af0  in FUN_1819d4a54 @ 0x1819d4a54
  READ from 0x1819d4b16  in FUN_1819d4a54 @ 0x1819d4a54
  READ from 0x1819d4b63  in FUN_1819d4a54 @ 0x1819d4a54
  READ from 0x1819d4ec6  in FUN_1819d4a54 @ 0x1819d4a54
  READ from 0x1819d4c10  in FUN_1819d4a54 @ 0x1819d4a54
  READ from 0x1819dfbb6  in FUN_1819dfb54 @ 0x1819dfb54
  READ from 0x1819dfbd3  in FUN_1819dfb54 @ 0x1819dfb54
  READ from 0x181de6470  in FUN_181de6460 @ 0x181de6460
  READ from 0x181de667e  in FUN_181de6660 @ 0x181de6660
  READ from 0x181de6870  in FUN_181de6860 @ 0x181de6860
  READ from 0x181de6a71  in FUN_181de6a50 @ 0x181de6a50
  READ from 0x1824f73ca  in FUN_1824f72dc @ 0x1824f72dc
  READ from 0x1824f73f2  in FUN_1824f72dc @ 0x1824f72dc
  READ from 0x1824fe38e  in FUN_1824fe388 @ 0x1824fe388
  READ from 0x1824fe3d3  in FUN_1824fe388 @ 0x1824fe388
  READ from 0x1824fe41c  in FUN_1824fe388 @ 0x1824fe388
  READ from 0x1824fe44d  in FUN_1824fe388 @ 0x1824fe388
  READ from 0x18250eaf4  in FUN_18250eae0 @ 0x18250eae0
  READ from 0x18250eb13  in FUN_18250eae0 @ 0x18250eae0
  READ from 0x18250eb3e  in FUN_18250eae0 @ 0x18250eae0
  READ from 0x18250eb6e  in FUN_18250eae0 @ 0x18250eae0
  READ from 0x1817ec422  in FUN_1817ec3e0 @ 0x1817ec3e0
  READ from 0x18060cd67  in FUN_18060cd20 @ 0x18060cd20
  READ from 0x18060d162  in FUN_18060cf28 @ 0x18060cf28
  READ from 0x18062f9ba  in FUN_18062f988 @ 0x18062f988
  READ from 0x1806ec7df  in FUN_1806ec76c @ 0x1806ec76c
